_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,val/OoDAUPR_epoch,run_name,pixel_embeddings_pca
320,0.5710493326187134,0.601591944694519,0.5136682391166687,0.654387891292572,0.6810585856437683,0.4536310969851911,0.801357626914978,0.8883668184280396,0.4232320487499237,0.6763601303100586,0.9364394545555115,0.774225115776062,0.8768378496170044,0.4393562972545624,0.3234989047050476,0.13979364931583405,ptl_objectosphere_20251210_013021,
643,0.5527538061141968,0.5886924266815186,0.5128916501998901,0.6531795859336853,0.690728485584259,0.4210043936036527,0.8048236966133118,0.8880816102027893,0.41967153549194336,0.6726266741752625,0.9364062547683716,0.7780998945236206,0.8788006901741028,0.42603063583374023,0.34172701835632324,0.18599770963191986,ptl_objectosphere_20251210_013021,
966,0.501361072063446,0.5930830836296082,0.5137401223182678,0.6495557427406311,0.6976924538612366,0.3961283382959664,0.8076101541519165,0.8878817558288574,0.426597535610199,0.6631069183349609,0.9365997910499573,0.7718074917793274,0.8784606456756592,0.44020241498947144,0.32608097791671753,0.2587803304195404,ptl_objectosphere_20251210_013021,
1289,0.5168581008911133,0.5913764834403992,0.5143601298332214,0.6518524885177612,0.7118306756019592,0.3765309457667172,0.8102196455001831,0.887854278087616,0.4275175929069519,0.6588627099990845,0.937614917755127,0.7744362354278564,0.8775717616081238,0.43353360891342163,0.33204594254493713,0.3453405499458313,ptl_objectosphere_20251210_013021,
1612,0.47850510478019714,0.5974281430244446,0.5104526281356812,0.6483089923858643,0.7186725735664368,0.3676835182122886,0.8072011470794678,0.8879473209381104,0.43797439336776733,0.6429343223571777,0.9391138553619385,0.7688977122306824,0.8766103386878967,0.4264872074127197,0.3357919752597809,0.43514198064804077,ptl_objectosphere_20251210_013021,
1935,0.5092558264732361,0.6064442992210388,0.5109611749649048,0.6547091603279114,0.7171226143836975,0.3588559979107231,0.8128705024719238,0.8865739703178406,0.4336414933204651,0.653026282787323,0.9387577176094055,0.7787981629371643,0.8779581785202026,0.4384305775165558,0.34737762808799744,0.5002068281173706,ptl_objectosphere_20251210_013021,
2258,0.5157451033592224,0.6017614006996155,0.5145918130874634,0.655322253704071,0.7126359343528748,0.3494185945019126,0.8095289468765259,0.8862131237983704,0.4554053246974945,0.6566395163536072,0.9378342628479004,0.7717156410217285,0.8760760426521301,0.4440237581729889,0.33701780438423157,0.5402625203132629,ptl_objectosphere_20251210_013021,
2581,0.5447611212730408,0.6119614243507385,0.5200392603874207,0.6600808501243591,0.7136670351028442,0.3477778183296323,0.8140286803245544,0.8855786323547363,0.44176217913627625,0.6538525223731995,0.9377503991127014,0.7672569155693054,0.8786561489105225,0.453497976064682,0.35823819041252136,0.5675025582313538,ptl_objectosphere_20251210_013021,
2904,0.5654670000076294,0.6194233894348145,0.5229880809783936,0.6644039154052734,0.7174712419509888,0.34245812031440437,0.8167555332183838,0.8843990564346313,0.4473784565925598,0.6590481400489807,0.9387388825416565,0.7804158329963684,0.8788843154907227,0.4444811940193176,0.3617991805076599,0.5808004140853882,ptl_objectosphere_20251210_013021,
3227,0.5862969756126404,0.6198059320449829,0.5312952399253845,0.6688586473464966,0.7208114266395569,0.3380366680212319,0.8160932064056396,0.8853517770767212,0.43845367431640625,0.6523745059967041,0.9383735060691833,0.7751820683479309,0.8809213638305664,0.47834667563438416,0.3718557059764862,0.6005582809448242,ptl_objectosphere_20251210_013021,
