_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name,pixel_embeddings_pca
320,0.00020720234897453338,0.007232009898871183,0.002144332742318511,0.012441065162420273,0.0015765174757689238,8.5798906609416,0.016267579048871994,0.03952092304825783,0.006072715390473604,0.000797903398051858,0.02639872394502163,0.023174649104475975,0.0041119703091681,0.03341152146458626,0.0008177795098163188,ow_20251211_052430,
643,0.008696815930306911,0.24419453740119934,0.03934154286980629,0.358145534992218,0.3726729452610016,7.4630893394351006,0.6873354315757751,0.8519152998924255,0.09418687969446182,0.038303084671497345,0.8551498055458069,0.39160215854644775,0.7086750864982605,0.22781604528427124,0.13600225746631622,ow_20251211_052430,
966,0.08068115264177322,0.2534111440181732,0.03733719512820244,0.36513638496398926,0.26610276103019714,8.509708315134048,0.6757197976112366,0.862591028213501,0.1070818305015564,0.05683755502104759,0.8394986391067505,0.42892348766326904,0.7261160016059875,0.23000460863113403,0.18246789276599884,ow_20251211_052430,
1289,0.02801261842250824,0.28552818298339844,0.0432463064789772,0.3723645806312561,0.3057149648666382,11.428597673773766,0.6923303008079529,0.8396299481391907,0.12804915010929108,0.07090258598327637,0.8547778725624084,0.4675219655036926,0.704168438911438,0.25817516446113586,0.16268187761306763,ow_20251211_052430,
1612,0.04245346039533615,0.36263689398765564,0.03478765860199928,0.37659990787506104,0.24861615896224976,12.901705861091614,0.6874929070472717,0.8479657173156738,0.1335168480873108,0.07066592574119568,0.8301787972450256,0.47855278849601746,0.7012980580329895,0.3182520866394043,0.13938146829605103,ow_20251211_052430,
1935,0.058704573661088943,0.3582009971141815,0.03334656357765198,0.36889535188674927,0.16339212656021118,13.554174169898033,0.6891456246376038,0.8487277030944824,0.12109669297933578,0.08116481453180313,0.8085480332374573,0.4708769619464874,0.7143272757530212,0.28043124079704285,0.16767701506614685,ow_20251211_052430,
2258,0.05298285558819771,0.36399492621421814,0.04101347550749779,0.3755757808685303,0.16505984961986542,14.31184646487236,0.7128682732582092,0.8452840447425842,0.14984488487243652,0.09826569259166718,0.811621367931366,0.466788113117218,0.7147865891456604,0.2954878509044647,0.16448703408241272,ow_20251211_052430,
2581,0.07028574496507645,0.3935795724391937,0.046378083527088165,0.381258487701416,0.195021390914917,13.564319714903831,0.684480607509613,0.8549545407295227,0.14522656798362732,0.08656072616577148,0.8341768980026245,0.5009775161743164,0.7317302823066711,0.2828969657421112,0.130091592669487,ow_20251211_052430,
2904,0.07248274236917496,0.44583478569984436,0.04886147379875183,0.3803480863571167,0.16411596536636353,13.636271566152573,0.7023100256919861,0.8527118563652039,0.15488341450691223,0.12064026296138763,0.8132732510566711,0.4687129855155945,0.7415063381195068,0.25525060296058655,0.10394095629453659,ow_20251211_052430,
3227,0.040208395570516586,0.33971983194351196,0.035835105925798416,0.372189998626709,0.18014927208423615,12.922612413764,0.6961148977279663,0.856632649898529,0.15102627873420715,0.12258186936378479,0.8214947581291199,0.4966786205768585,0.7336047887802124,0.21582312881946564,0.14860036969184875,ow_20251211_052430,
3550,0.07786525040864944,0.42992347478866577,0.04445912316441536,0.3924674987792969,0.18677714467048645,13.135541833937168,0.705155611038208,0.8269048929214478,0.128477081656456,0.12404234707355499,0.8362838625907898,0.5134245157241821,0.7302689552307129,0.2943580746650696,0.20413701236248016,ow_20251211_052430,
3873,0.125199094414711,0.5168411135673523,0.0427045002579689,0.4070649743080139,0.21873259544372559,14.088722452521324,0.7393186688423157,0.8423509001731873,0.1469624638557434,0.07425100356340408,0.8442066311836243,0.5283046960830688,0.7395214438438416,0.32461774349212646,0.14883387088775635,ow_20251211_052430,
4196,0.22226642072200775,0.4280007779598236,0.062132880091667175,0.415666788816452,0.2370101511478424,13.220622763037682,0.7125584483146667,0.8287369012832642,0.1420401781797409,0.12009640038013458,0.865912139415741,0.544373631477356,0.7410473227500916,0.3031613528728485,0.19633112847805023,ow_20251211_052430,wandb_downloads/9qj4m9pr/media/images/pixel_embeddings_pca_4844_b67092f087d9c1ffcee3.png
4519,0.19221581518650055,0.48686280846595764,0.06752344220876694,0.40258991718292236,0.22671543061733246,12.115175008773804,0.699440598487854,0.8002499938011169,0.1341017186641693,0.20543016493320465,0.8502062559127808,0.5439800024032593,0.6881743669509888,0.23826028406620026,0.10050777345895767,ow_20251211_052430,
4842,0.03964344039559364,0.28430578112602234,0.06532513350248337,0.37728774547576904,0.23977577686309814,14.9641587510705,0.6923220753669739,0.7999522089958191,0.15270371735095978,0.21448376774787903,0.8488838076591492,0.5280102491378784,0.6784798502922058,0.17845459282398224,0.18240010738372803,ow_20251211_052430,
5165,0.20156575739383698,0.4356818199157715,0.05601397529244423,0.391171395778656,0.238678440451622,12.53725489974022,0.6150742173194885,0.7351378798484802,0.1440127193927765,0.1303439885377884,0.8514569401741028,0.5412454009056091,0.6920922994613647,0.23261849582195282,0.2113059163093567,ow_20251211_052430,
