_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name
320,0.00355694442987442,0.09748800098896027,0.05753440409898758,0.26575908064842224,0.34285223484039307,0.9280069386586547,0.0689108669757843,0.8275452256202698,0.0579952597618103,0.07602094858884811,0.816112220287323,0.28542035818099976,0.5989285111427307,0.1886923462152481,0.03381040319800377,proto_segnet_resnet18d_encoder_20251129_054502
643,0.29488715529441833,0.2450842261314392,0.2562060058116913,0.45830801129341125,0.5602200627326965,0.7964149285107851,0.7177506685256958,0.8454017639160156,0.12512357532978058,0.4844745695590973,0.8578997850418091,0.4128679037094116,0.7757428884506226,0.30738335847854614,0.07496175169944763,proto_segnet_resnet18d_encoder_20251129_054502
966,0.40436914563179016,0.43220874667167664,0.287136435508728,0.527286946773529,0.6320822834968567,0.7309394730255008,0.7745766639709473,0.8669329881668091,0.19340896606445312,0.5383436679840088,0.9049023985862732,0.5184522867202759,0.7912480235099792,0.31945642828941345,0.19161219894886017,proto_segnet_resnet18d_encoder_20251129_054502
1289,0.5179134607315063,0.3744470775127411,0.28520724177360535,0.5415139198303223,0.6689940690994263,0.7105191545560956,0.787673830986023,0.8621532917022705,0.19865788519382477,0.5481499433517456,0.9155296087265015,0.5534803867340088,0.8115838766098022,0.2932800054550171,0.22260990738868713,proto_segnet_resnet18d_encoder_20251129_054502
1612,0.2188875377178192,0.4190162122249603,0.35416659712791443,0.5338431596755981,0.66326504945755,0.6824323423206806,0.7742998600006104,0.8757544159889221,0.22469568252563477,0.5590361952781677,0.9241018295288086,0.6081492304801941,0.819462776184082,0.24421799182891846,0.2549077570438385,proto_segnet_resnet18d_encoder_20251129_054502
1935,0.4721393585205078,0.45692139863967896,0.3725579082965851,0.5576391220092773,0.6796309947967529,0.6727808946743608,0.771622359752655,0.8644495010375977,0.2334001213312149,0.5095338225364685,0.9187909960746765,0.6267950534820557,0.8315660953521729,0.25061437487602234,0.2612859010696411,proto_segnet_resnet18d_encoder_20251129_054502
2258,0.5979008674621582,0.4374811053276062,0.38189923763275146,0.5847466588020325,0.703086256980896,0.6619439488276839,0.7713204622268677,0.8730871677398682,0.2811580002307892,0.5212196707725525,0.9243390560150146,0.6366425156593323,0.8422051668167114,0.3772968053817749,0.2540697455406189,proto_segnet_resnet18d_encoder_20251129_054502
2581,0.3524329364299774,0.4148748517036438,0.38499772548675537,0.5589695572853088,0.7072886228561401,0.6695316210389137,0.7636639475822449,0.8805580139160156,0.2808569669723511,0.521316409111023,0.9304876923561096,0.6366779208183289,0.8467930555343628,0.3173980712890625,0.22925764322280884,proto_segnet_resnet18d_encoder_20251129_054502
2904,0.6226844191551208,0.46082913875579834,0.37061017751693726,0.5911992192268372,0.7191892266273499,0.6194547964259982,0.7909131050109863,0.882489025592804,0.2941341698169708,0.519282877445221,0.927616536617279,0.6018106937408447,0.8425100445747375,0.3446287214756012,0.30889126658439636,proto_segnet_resnet18d_encoder_20251129_054502
3227,0.6015710830688477,0.4810622036457062,0.388468861579895,0.5955813527107239,0.6966273188591003,0.6226399620063603,0.7622228264808655,0.8710286021232605,0.29249459505081177,0.568584680557251,0.9276928305625916,0.6477198004722595,0.84075927734375,0.41055771708488464,0.25376737117767334,proto_segnet_resnet18d_encoder_20251129_054502
3550,0.5774840712547302,0.5271167159080505,0.3759028911590576,0.6155139207839966,0.7078413367271423,0.640652191825211,0.8013087511062622,0.8750869035720825,0.3083716928958893,0.5797090530395508,0.9343101978302002,0.6893573999404907,0.8493630886077881,0.493784636259079,0.28204330801963806,proto_segnet_resnet18d_encoder_20251129_054502
3873,0.5952496528625488,0.5207887291908264,0.38799023628234863,0.6164486408233643,0.6740142703056335,0.6065152660012245,0.8064578175544739,0.8752937316894531,0.32812872529029846,0.5637161135673523,0.9274302124977112,0.6873897910118103,0.8528684973716736,0.47427183389663696,0.3202321529388428,proto_segnet_resnet18d_encoder_20251129_054502
4196,0.531662106513977,0.5338314771652222,0.40633222460746765,0.6015045642852783,0.7121760249137878,0.6133222877979279,0.7583939433097839,0.874607503414154,0.3249320387840271,0.5709421634674072,0.9293214082717896,0.6627383828163147,0.8420560956001282,0.3917336165904999,0.2808321714401245,proto_segnet_resnet18d_encoder_20251129_054502
