_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name
320,0.05894656851887703,0.21639519929885864,0.2326352298259735,0.4078189432621002,0.39747145771980286,0.8253535972908139,0.7725081443786621,0.8656021356582642,0.14627587795257568,0.22720128297805786,0.8317458629608154,0.4060738682746887,0.7318218350410461,0.2857072353363037,0.129261314868927,fpn_20251129_175939
643,0.1523718237876892,0.27156177163124084,0.31241098046302795,0.47463923692703247,0.5209342241287231,0.7446708874776959,0.791056752204895,0.8812754154205322,0.21033984422683716,0.362214058637619,0.8828327655792236,0.48415762186050415,0.7983633279800415,0.3528751730918884,0.14991608262062073,fpn_20251129_175939
966,0.2743743360042572,0.3062902092933655,0.34679898619651794,0.5126643180847168,0.6205477118492126,0.6948632076382637,0.7941112518310547,0.8859695792198181,0.22619158029556274,0.460422545671463,0.8945837616920471,0.5313818454742432,0.8167588710784912,0.3411390483379364,0.16606642305850983,fpn_20251129_175939
1289,0.18796512484550476,0.3375389575958252,0.3620533347129822,0.5303713083267212,0.6433199644088745,0.658518536016345,0.790766716003418,0.8819719552993774,0.2619887590408325,0.4903099834918976,0.9060356616973877,0.5826877355575562,0.832548975944519,0.421349436044693,0.19628962874412537,fpn_20251129_175939
1612,0.20409642159938812,0.38035327196121216,0.31363967061042786,0.5398825407028198,0.6815469264984131,0.6567624136805534,0.7901595830917358,0.8679884672164917,0.2811761200428009,0.48536431789398193,0.9102334380149841,0.6445528268814087,0.8387989401817322,0.3789290487766266,0.24163344502449036,fpn_20251129_175939
1935,0.38383370637893677,0.37749677896499634,0.3671310544013977,0.5728772282600403,0.7014753818511963,0.6161866853944957,0.7985509037971497,0.881404459476471,0.3241969347000122,0.4969749450683594,0.9190835356712341,0.6597213745117188,0.8424420952796936,0.458734929561615,0.236357182264328,fpn_20251129_175939
2258,0.6025978326797485,0.3933372497558594,0.39935362339019775,0.5983284711837769,0.6922059655189514,0.6140202707611024,0.8094823360443115,0.8782079219818115,0.33487141132354736,0.5244157314300537,0.9166702032089233,0.6421330571174622,0.8509533405303955,0.4589693546295166,0.27507147192955017,fpn_20251129_175939
2581,0.45057880878448486,0.3473748564720154,0.3971574008464813,0.5887804627418518,0.6852836012840271,0.6209444086998701,0.8130915760993958,0.8761959075927734,0.3436688780784607,0.5549871921539307,0.9162662029266357,0.6772493720054626,0.8429619073867798,0.42879894375801086,0.32053089141845703,fpn_20251129_175939
2904,0.5962921380996704,0.447159081697464,0.4217316508293152,0.6030564904212952,0.7201741933822632,0.6391061153262854,0.8098064661026001,0.87343430519104,0.303282767534256,0.4846910536289215,0.9279793500900269,0.7148130536079407,0.8563479781150818,0.39908719062805176,0.28493502736091614,fpn_20251129_175939
3227,0.4533698558807373,0.4237063229084015,0.42406150698661804,0.5876343846321106,0.7308375239372253,0.6008444731123745,0.7640537619590759,0.8756211400032043,0.36039870977401733,0.5001766085624695,0.9227922558784485,0.6853117346763611,0.8616258502006531,0.3747997283935547,0.2624914348125458,fpn_20251129_175939
3550,0.6117944121360779,0.47726279497146606,0.44691240787506104,0.61806720495224,0.7263616323471069,0.6043064272962511,0.8028356432914734,0.8795257210731506,0.3586635887622833,0.565651535987854,0.9331077337265015,0.7027960419654846,0.8643820881843567,0.3295835256576538,0.33599653840065,fpn_20251129_175939
3873,0.6362738609313965,0.5136193633079529,0.44523999094963074,0.6285777688026428,0.7357610464096069,0.6009504017420113,0.8178941011428833,0.8835598826408386,0.3422852158546448,0.555671751499176,0.9305838346481323,0.7030096054077148,0.866528332233429,0.4782252013683319,0.26285815238952637,fpn_20251129_175939
4196,0.5730950832366943,0.4938404858112335,0.46533310413360596,0.6190919876098633,0.7214788794517517,0.5819395720027387,0.8098549246788025,0.8823679089546204,0.3869825303554535,0.5638793706893921,0.925434947013855,0.6896113157272339,0.8593373894691467,0.38247859477996826,0.2945012152194977,fpn_20251129_175939
4519,0.642666220664978,0.44894829392433167,0.4603191316127777,0.6372547149658203,0.7106115818023682,0.6019163280725479,0.8188523054122925,0.878929615020752,0.3908849060535431,0.6293864250183105,0.929854154586792,0.7448611259460449,0.8678243160247803,0.4060697853565216,0.35510337352752686,fpn_20251129_175939
4842,0.6295099854469299,0.44334885478019714,0.4368969202041626,0.6359346508979797,0.7411230802536011,0.5855014114640653,0.8163516521453857,0.8859798312187195,0.37576863169670105,0.6075196266174316,0.9307661056518555,0.6953916549682617,0.8672848343849182,0.4711310863494873,0.3660775423049927,fpn_20251129_175939
5165,0.6297526359558105,0.4925333857536316,0.4747147858142853,0.637180507183075,0.7376603484153748,0.6099390108138323,0.8295415043830872,0.8800966143608093,0.3543573021888733,0.6238263249397278,0.9372811317443848,0.7514629364013672,0.8708649277687073,0.3857189118862152,0.3155358135700226,fpn_20251129_175939
5488,0.6186991930007935,0.4459729492664337,0.47727569937705994,0.6190578937530518,0.7398233413696289,0.599704681430012,0.7604286670684814,0.8760347366333008,0.38779962062835693,0.5842092633247375,0.9288427829742432,0.6982375979423523,0.8726964592933655,0.29477226734161377,0.3629592955112457,fpn_20251129_175939
5811,0.6084185838699341,0.47437408566474915,0.4828842878341675,0.645449161529541,0.7525621056556702,0.5984814302064478,0.800040602684021,0.8822247982025146,0.41852831840515137,0.6438546776771545,0.9327852129936218,0.744120180606842,0.8715887069702148,0.3465694189071655,0.43288806080818176,fpn_20251129_175939
6134,0.6240203976631165,0.5611771941184998,0.48663151264190674,0.6488068103790283,0.7424664497375488,0.5803185463882983,0.7806380391120911,0.881187379360199,0.4295063316822052,0.6637563109397888,0.9342519044876099,0.7078670859336853,0.8612639307975769,0.4198808968067169,0.3418408930301666,fpn_20251129_175939
6457,0.5142260789871216,0.49723678827285767,0.4785739481449127,0.6346595883369446,0.7578567862510681,0.5737804202362895,0.7908464074134827,0.882550835609436,0.36532989144325256,0.6079325079917908,0.9299799203872681,0.7400136590003967,0.8726868033409119,0.4009285569190979,0.41241174936294556,fpn_20251129_175939
